epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8880482912063599,0.1508159041404724,0.35468971729278564,1e-04,0.41426268219947815,0.43030819296836853,0.9211630821228027,0.06522871553897858,0.4927670955657959,0.0,0.0
1,0.9335342049598694,0.2245861142873764,0.22132283449172974,1e-04,0.722400426864624,0.4937564730644226,0.9211630821228027,0.06575797498226166,0.3871263563632965,0.0,0.0
2,0.9447458982467651,0.284708708524704,0.186234712600708,1e-04,0.7816017270088196,0.5910707116127014,0.9211630821228027,0.05066900700330734,0.310921847820282,0.0,0.0
3,0.9525740742683411,0.33694183826446533,0.16048313677310944,1e-04,0.810145914554596,0.6682431697845459,0.9208306670188904,0.04085313528776169,0.2823426425457001,0.0,0.0
4,0.9570708870887756,0.3716900646686554,0.14456023275852203,1e-04,0.8294783234596252,0.7044775485992432,0.9174954891204834,0.046195801347494125,0.27750256657600403,0.20804694294929504,0.016423091292381287
5,0.9619541764259338,0.40888887643814087,0.12910765409469604,1e-04,0.8505182266235352,0.7434380650520325,0.9167327880859375,0.04681774973869324,0.2801858186721802,0.26151546835899353,0.030552152544260025
6,0.9666168689727783,0.4454002380371094,0.11453036963939667,1e-04,0.8744877576828003,0.7739225029945374,0.9189813137054443,0.0591362863779068,0.2707374691963196,0.3845691382884979,0.044646311551332474
7,0.9686743021011353,0.4724408984184265,0.10645472258329391,1e-04,0.8800241351127625,0.7939426302909851,0.9189425706863403,0.14006632566452026,0.27738305926322937,0.47580984234809875,0.21512790024280548
8,0.9704101085662842,0.4919474124908447,0.0993012860417366,1e-04,0.8918478488922119,0.8011291027069092,0.9192742705345154,0.164273202419281,0.2587670683860779,0.48478707671165466,0.2588445544242859
9,0.974631130695343,0.5324715971946716,0.0870056003332138,1e-04,0.9096772074699402,0.8322176337242126,0.940224826335907,0.2639349102973938,0.18881739675998688,0.7150425314903259,0.41969946026802063
10,0.9764179587364197,0.5531198978424072,0.08013223856687546,1e-04,0.9186022281646729,0.8438317179679871,0.9544147253036499,0.3956795632839203,0.1391313225030899,0.7206142544746399,0.7185609936714172
11,0.9762469530105591,0.5655294060707092,0.07787635922431946,1e-04,0.9136379957199097,0.847244381904602,0.9641903638839722,0.43908464908599854,0.1112576425075531,0.8138313889503479,0.7319127321243286
12,0.9782506227493286,0.5914059281349182,0.07093163579702377,1e-04,0.924335241317749,0.8591712713241577,0.9519293308258057,0.4198688864707947,0.13714699447155,0.6874492168426514,0.7491322159767151
13,0.9802911281585693,0.6133613586425781,0.06440500169992447,1e-04,0.9334853291511536,0.873297929763794,0.9661612510681152,0.4948943853378296,0.09934026002883911,0.800735354423523,0.784294605255127
